,descr,date,US_img,E_ID
R-0,,"Thu, 07-May-2020 (14:47:25)",../data/img/R-6b30cb06-211a-42ea-b24a-33789eaccdb5_img.png,E-0
R-1,,"Thu, 14-May-2020 (23:58:05)",../data/img/R-8b9a1e15-cf87-45b0-b907-bc7be7894b89_img.png,E-1
R-2,,"Fri, 15-May-2020 (00:06:44)",../data/img/R-307952f3-2bb3-422b-b5da-25504bb60d21_img.png,E-2
R-3,,"Fri, 29-May-2020 (13:41:03)",data/img/R-3_img.png,E-3
R-4,,"Fri, 29-May-2020 (13:41:09)",data/img/R-4_img.png,E-3
R-5,,"Fri, 29-May-2020 (13:50:09)",data/img/R-5_img.png,E-4
R-6,,"Fri, 29-May-2020 (13:50:14)",data/img/R-6_img.png,E-4
R-7,,"Fri, 29-May-2020 (14:09:06)",data/img/R-7_img.png,E-5
R-8,,"Fri, 29-May-2020 (14:09:10)",data/img/R-8_img.png,E-5
R-9,,"Fri, 29-May-2020 (14:13:54)",data/img/R-9_img.png,E-6
R-10,,"Fri, 29-May-2020 (14:14:28)",data/img/R-10_img.png,E-7
R-11,,"Wed, 17-Jun-2020 (23:07:21)",data/img/R-11_img.png,E-8
R-12,,"Wed, 17-Jun-2020 (23:08:12)",data/img/R-12_img.png,E-9
R-13,,"Wed, 17-Jun-2020 (23:08:17)",data/img/R-13_img.png,E-9
R-14,,"Wed, 17-Jun-2020 (23:29:09)",data/img/R-14_img.png,E-10
R-15,,"Wed, 17-Jun-2020 (23:30:17)",data/img/R-15_img.png,E-10
R-16,,"Wed, 17-Jun-2020 (23:30:39)",data/img/R-16_img.png,E-10
R-17,,"Wed, 17-Jun-2020 (23:31:42)",data/img/R-17_img.png,E-10
R-18,,"Wed, 17-Jun-2020 (23:32:06)",data/img/R-18_img.png,E-10
R-19,,"Wed, 17-Jun-2020 (23:32:35)",data/img/R-19_img.png,E-10
R-20,,"Wed, 17-Jun-2020 (23:33:26)",data/img/R-20_img.png,E-10
R-21,,"Wed, 17-Jun-2020 (23:33:44)",data/img/R-21_img.png,E-10
R-22,,"Wed, 17-Jun-2020 (23:33:55)",data/img/R-22_img.png,E-10
R-23,,"Wed, 17-Jun-2020 (23:34:27)",data/img/R-23_img.png,E-10
R-24,,"Wed, 17-Jun-2020 (23:34:41)",data/img/R-24_img.png,E-10
R-25,,"Wed, 17-Jun-2020 (23:34:50)",data/img/R-25_img.png,E-10
R-26,,"Wed, 17-Jun-2020 (23:34:58)",data/img/R-26_img.png,E-10
R-27,,"Wed, 17-Jun-2020 (23:35:07)",data/img/R-27_img.png,E-10
R-28,,"Wed, 17-Jun-2020 (23:35:37)",data/img/R-28_img.png,E-10
R-29,,"Wed, 17-Jun-2020 (23:35:48)",data/img/R-29_img.png,E-10
R-30,,"Wed, 17-Jun-2020 (23:36:11)",data/img/R-30_img.png,E-10
R-31,,"Wed, 17-Jun-2020 (23:36:33)",data/img/R-31_img.png,E-10
R-32,,"Wed, 17-Jun-2020 (23:36:40)",data/img/R-32_img.png,E-10
R-33,,"Wed, 17-Jun-2020 (23:36:51)",data/img/R-33_img.png,E-10
